Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Jiu Jitsu,2020,Dimitri Logothetis,"['Nicolas Cage', 'Alain Moussi', 'Frank Grillo', 'Tony Jaa', 'JuJu Chan', 'Marie Avgeropoulos', 'Rick Yune', 'Eddie Steeples', 'Dan Rizzuto', 'Ryan Tarran', 'John D. Hickman', 'Tommy Walker', 'Jack Kingsley']",1,1.6,https://letterboxd.com//film/jiu-jitsu/
Borat Subsequent Moviefilm,2020,Jason Woliner,"['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu', 'Manuel Vieru', 'Miroslav Tolj', 'Alin Popa', 'Ion Gheorghe', 'Nicolae Gheorghe', 'Marcela Codrea', 'Luca Nelu', 'Judith Dim Evans', 'Mike Pence', 'Rudolph Giuliani']",3,3.35,https://letterboxd.com//film/borat-subsequent-moviefilm/
The Queen's Gambit,2020,Scott Frank,"['Anya Taylor-Joy', 'Bill Camp', 'Marielle Heller', 'Marcin Dorociński', 'Thomas Brodie-Sangster', 'Harry Melling', 'Jacob Fortune-Lloyd', 'Rebecca Root', 'Chloe Pirrie']",4.5,4.27,https://letterboxd.com//film/the-queens-gambit/
Earwig and the Witch,2020,Gorō Miyazaki,"['Kokoro Hirasawa', 'Shinobu Terajima', 'Gaku Hamada', 'Sherina Munaf', 'Etsushi Toyokawa']",1,2.07,https://letterboxd.com//film/earwig-and-the-witch/
Soul,2020,Pete Docter,"['Jamie Foxx', 'Tina Fey', 'Ahmir-Khalib Thompson', 'Phylicia Rashād', 'Daveed Diggs', 'Richard Ayoade', 'Graham Norton', 'Rachel House', 'Alice Braga', 'Angela Bassett', 'Fortune Feimster', 'Donnell Rawlings', 'Margo Hall', 'Wes Studi', 'Sakina Jaffrey', 'Calum Grant', 'Laura Mooney', 'Zenobia Shroff', 'June Squibb', 'Jeannie Tirado', 'Cathy Cavadini', 'Dorian Lockett', 'Ronnie del Carmen', 'Cora Champommier', 'Rhodessa Jones', 'Peggy Flood', 'Ochuwa Oghie', 'Doris Burke', 'Esther K. Chae', 'Show All…', 'Élisapie', 'Marcus Shelby', 'John Ratzenberger', 'Ethan Heldman', 'Piotr Michael']",4,4.12,https://letterboxd.com//film/soul-2020/
David Attenborough: A Life on Our Planet,2020,"Alastair Fothergill, Keith Scholey",['David Attenborough'],3.5,4.17,https://letterboxd.com//film/david-attenborough-a-life-on-our-planet/
Wolfwalkers,2020,"Tomm Moore, Ross Stewart","['Honor Kneafsey', 'Eva Whittaker', 'Sean Bean', 'Simon McBurney', 'Tommy Tiernan', 'Jon Kenny', 'John Morton', 'Maria Doyle Kennedy', 'Oliver McGrath', 'Niamh Moyles', 'Nora Twomey', 'Paul Young']",4,4.13,https://letterboxd.com//film/wolfwalkers/
Another Round,2020,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Lars Ranthe', 'Magnus Millang', 'Maria Bonnevie', 'Susse Wold', 'Helene Reingaard Neumann', 'Diêm Camille G.', 'Martin Greis-Rosenthal', 'Albert Rudbeck Lindhardt', 'Frederik Winther Rasmussen', 'Morten Thunbo', 'Dorte Højsted', 'Michael Asmussen', 'Cassius Aasav Browning', 'Christiane Gjellerup Koch', 'Magnus Sjørup', 'Silas Cornelius Van', 'Aksel Vedsegaard', 'Aya Grann', 'Gustav Sigurth Jeppesen', 'Freja Bella Lindahl', 'Mercedes Claro Schelin', 'Maria Ovi', 'Clara Phillipson', 'Lucas Helt', 'Oskar Kirk Damsgaard', 'Niels Jørgensen', 'Le Münster Swendsen', 'Show All…', 'Christina Hildebrandt', 'Thomas Guldberg Madsen', 'Per Otto Bersang Rasmussen', 'Morten Jørgensen', 'Basse J. Dam', 'Max Kaysen Høyrup', 'Waldemar Beer Hansen', 'Matti Rochler', 'Milas Hansen', 'Carl David Schubert Holm-Nielsen']",4,3.97,https://letterboxd.com//film/another-round/
Tenet,2020,Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Himesh Patel', 'Aaron Taylor-Johnson', 'Michael Caine', 'Clémence Poésy', 'Martin Donovan', 'Andrew Howard', 'Yuri Kolokolnikov', 'Mark Krenik', 'Anthony Molinari', 'Rich Ceraulo Ko', 'Denzil Smith', 'Jonathan Camp', 'Julia-Maria Arnolds', 'Laurie Shepherd', 'Wes Chatham', 'Fiona Dourif', 'Kenneth Wolf Andersen Haugen', 'Marcel Sabat', 'Marek Angelstok', 'Klaus Peeter Rüütli', 'Daniel Olesk', 'Bern Collaço', 'Ingrid Margus', 'Carina Velva', 'Show All…', 'Glenn Lawrence', 'Katie McCabe', 'Ronald Pelin', 'Schezaad Ausman', 'Anterro Ahonen', 'Aleksei Podlesnov', 'Lisa Marie', 'Trent Buxton', 'Jess Weber', 'Jeremy Theobald', 'Jefferson Hall', 'Tom Nolan', 'Adam Cropper', 'Josh Stewart', 'Juhan Ulfsak', 'Jan Uuspõld', 'Tony Christian', 'Jack Cutmore-Scott', 'Kaspar Velberg', 'Sergo Vares', 'Rain Tolk', 'Henrik Kalmet', 'Sean Avery', 'John Orantes', 'Seb Carrington', 'Matthew Marsden']",3.5,3.47,https://letterboxd.com//film/tenet/
Rundfunk: Jachterwachter,2020,Rob Lücker,"['Yannick van de Velde', 'Tom van Kalmthout', 'Pierre Bokma', 'Kees Hulst', 'Bram van der Vlugt', 'Carly Wijs', 'Tibo Vandenborre', 'Stefan Perceval', 'Jonas Weerman', 'Peter Bolhuis', 'Martijn Oversteegen', 'Michiel Nooter', 'Hans Croiset', 'Annemieke Bakker', 'Mike Kuyt', 'Bart van der Schaaf', 'Agaath Meulenbroek', 'Naomi van der Linden', 'Margo de Geest', 'Stefana Verweij', 'Gilles Biesheuvel']",2.5,2.85,https://letterboxd.com//film/rundfunk-jachterwachter/
