Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
A Palace for Putin: The Story of the Biggest Bribe,2021,Alexey Navalny,"['Alexey Navalny', 'Vladimir Putin', 'Georgy Alburov']",nan,4.03,https://letterboxd.com//film/a-palace-for-putin-the-story-of-the-biggest-bribe/
Jiu Jitsu,2020,Dimitri Logothetis,"['Nicolas Cage', 'Alain Moussi', 'Frank Grillo', 'Tony Jaa', 'JuJu Chan', 'Marie Avgeropoulos', 'Rick Yune', 'Eddie Steeples', 'Dan Rizzuto', 'Ryan Tarran', 'John D. Hickman', 'Tommy Walker', 'Jack Kingsley']",1,1.6,https://letterboxd.com//film/jiu-jitsu/
Borat Subsequent Moviefilm,2020,Jason Woliner,"['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu', 'Manuel Vieru', 'Miroslav Tolj', 'Alin Popa', 'Ion Gheorghe', 'Nicolae Gheorghe', 'Marcela Codrea', 'Luca Nelu', 'Judith Dim Evans', 'Mike Pence', 'Rudolph Giuliani']",3,3.35,https://letterboxd.com//film/borat-subsequent-moviefilm/
Soul,2020,Pete Docter,"['Jamie Foxx', 'Tina Fey', 'Ahmir-Khalib Thompson', 'Phylicia Rashād', 'Daveed Diggs', 'Richard Ayoade', 'Graham Norton', 'Rachel House', 'Alice Braga', 'Angela Bassett', 'Fortune Feimster', 'Donnell Rawlings', 'Margo Hall', 'Wes Studi', 'Sakina Jaffrey', 'Calum Grant', 'Laura Mooney', 'Zenobia Shroff', 'June Squibb', 'Jeannie Tirado', 'Cathy Cavadini', 'Dorian Lockett', 'Ronnie del Carmen', 'Cora Champommier', 'Rhodessa Jones', 'Peggy Flood', 'Ochuwa Oghie', 'Doris Burke', 'Esther K. Chae', 'Show All…', 'Élisapie', 'Marcus Shelby', 'John Ratzenberger', 'Ethan Heldman', 'Piotr Michael']",3,4.12,https://letterboxd.com//film/soul-2020/
Another Round,2020,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Lars Ranthe', 'Magnus Millang', 'Maria Bonnevie', 'Susse Wold', 'Helene Reingaard Neumann', 'Diêm Camille G.', 'Martin Greis-Rosenthal', 'Albert Rudbeck Lindhardt', 'Frederik Winther Rasmussen', 'Morten Thunbo', 'Dorte Højsted', 'Michael Asmussen', 'Cassius Aasav Browning', 'Christiane Gjellerup Koch', 'Magnus Sjørup', 'Silas Cornelius Van', 'Aksel Vedsegaard', 'Aya Grann', 'Gustav Sigurth Jeppesen', 'Freja Bella Lindahl', 'Mercedes Claro Schelin', 'Maria Ovi', 'Clara Phillipson', 'Lucas Helt', 'Oskar Kirk Damsgaard', 'Niels Jørgensen', 'Le Münster Swendsen', 'Show All…', 'Christina Hildebrandt', 'Thomas Guldberg Madsen', 'Per Otto Bersang Rasmussen', 'Morten Jørgensen', 'Basse J. Dam', 'Max Kaysen Høyrup', 'Waldemar Beer Hansen', 'Matti Rochler', 'Milas Hansen', 'Carl David Schubert Holm-Nielsen']",4,3.97,https://letterboxd.com//film/another-round/
Nomadland,2020,Chloé Zhao,"['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie', 'Gay DeForest', 'Patricia Grier', 'Angela Reyes', 'Carl R. Hughes', 'Douglas G. Soul', 'Ryan Aquino', 'Teresa Buchanan', 'Karie Lynn McDermott Wilder', 'Brandy Wilber', 'Makenzie Etcheverry', 'Bob Wells', 'Annette Webb', 'Rachel Bannon', 'Bryce Bedsworth', 'Sherita Deni Coker', 'Merle Redwing', 'Forrest Bault', 'Suanne Carlson', 'Donnie Miller', 'Roxanne Bay', 'Matt Sfaelos', 'Ronald O. Zimmerman', 'Derek Endres', 'Paige Dean', 'Paul Winer', 'Show All…', 'Derrick Janis', 'Greg Barber', 'Carol Anne Hodge', 'Matthew Stinson', 'Terry Phillip', 'Bradford Lee Riza', 'Tay Strathairn', 'Cat Clifford', 'James R. Taylor, Jr.', 'Jeremy Greenman', 'Ken Greenman', 'Melissa Smith', 'Warren Keith', 'Jeff Andrews', 'Paul Cunningham', 'Emily Foley', 'Mike Sells', 'Peter Spears', 'Cheryl Davis']",4,4.07,https://letterboxd.com//film/nomadland/
Kubrick by Kubrick,2020,Grégory Monro,"['Stanley Kubrick', 'Malcolm McDowell', 'Jack Nicholson', 'Peter Sellers', 'Tom Cruise', 'Nicole Kidman', 'Roger Ebert', 'Kirk Douglas']",nan,3.28,https://letterboxd.com//film/kubrick-by-kubrick/
The Social Dilemma,2020,Jeff Orlowski,"['Skyler Gisondo', 'Kara Hayward', 'Vincent Kartheiser', 'Tristan Harris', 'Sophia Hammons', 'Catalina Garayoa', 'Barbara Gehring', 'Chris Grundy', 'Vic Alejandro', 'Laura Obiols']",nan,3.29,https://letterboxd.com//film/the-social-dilemma/
1917,2019,Sam Mendes,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch', 'Daniel Mays', 'Adrian Scarborough', 'Chris Walley', 'Nabhaan Rizwan', 'Jamie Parker', 'Tommy French', 'Paul Tinto', 'Billy Postlethwaite', 'Richard McCabe', 'Justin Edwards', 'Jonny Lavelle', 'Gabriel Akuwudike', 'Pip Carter', 'Michael Jibson', 'Andy Apollo', 'Josef Davies', 'Spike Leighton', 'Robert Maaser', 'Gerran Howell', 'Adam Hugill', 'Benjamin Adams', 'Show All…', 'Anson Boon', 'Kenny Fullwood', 'Ryan Nolan', 'Elliot Baxter', 'Bogdan Kumshatsky', 'Kye Mckee', 'Ivy-I Macnamara', 'Merlin Leonhardt', 'Taddeo Kufus', 'Jos Slovick', 'Luke Hornsby', 'Jack Shalloo', 'Elliot Edusah', 'Joe Mendes', 'Jacob James Beswick', 'Ian Wilson', 'Bradley Connor', 'John Hollingworth', 'Daniel Attwell', 'Samson Cox-Vinell', 'Richard Dempsey', 'Phil Cheadle', 'Jonah Russell', 'Michael Rouse']",3.5,4.08,https://letterboxd.com//film/1917/
El Camino: A Breaking Bad Movie,2019,Vince Gilligan,"['Aaron Paul', 'Jesse Plemons', 'Charles Baker', 'Matt Jones', 'Scott MacArthur', 'Larry Hankin', 'Scott Shepherd', 'Tom Bower', 'Robert Forster', 'Jonathan Banks', 'Bryan Cranston', 'Krysten Ritter', 'Kevin Rankin', 'Tess Harper', 'Michael Bofshever', 'Marla Gibbs', 'Brendan Sexton III', 'Johnny Ortiz', 'Todd Terry', 'Julie Pearl', 'Gloria Sandoval', 'Carlos Sepulveda', 'Matthew Van Wettering', 'Chris Bylsma', 'David Mattey', 'Cody Renee Cameron', 'Gregory Steven Soliz', 'Danielle Todesco', 'Simon Drobik', 'Show All…', 'Alison Law', 'Gabriela Alicia Ortega']",3,3.52,https://letterboxd.com//film/el-camino-a-breaking-bad-movie/
