Film_title,Release_year,Director,Average_rating,Letterboxd URL
The White Ribbon,2009,Michael Haneke,4.07,https://letterboxd.com//film/the-white-ribbon/
Ben-Hur: A Tale of the Christ,1925,Fred Niblo,3.72,https://letterboxd.com//film/ben-hur-a-tale-of-the-christ/
M,1931,Fritz Lang,4.27,https://letterboxd.com//film/m/
Basic Instinct,1992,Paul Verhoeven,3.46,https://letterboxd.com//film/basic-instinct/
Blossoms Shanghai,2021,Wong Kar-wai,nan,https://letterboxd.com//film/blossoms-shanghai/
Caché,2005,Michael Haneke,3.96,https://letterboxd.com//film/cache/
Funny Games,1997,Michael Haneke,3.86,https://letterboxd.com//film/funny-games/
The Assassin,2015,Hou Hsiao-hsien,3.4,https://letterboxd.com//film/the-assassin-2015/
The Dull-Ice Flower,1989,Li Kao Yang,3.67,https://letterboxd.com//film/the-dull-ice-flower/
Central Station,1998,Walter Salles,4.41,https://letterboxd.com//film/central-station/
A Sun,2019,Chung Mong-Hong,3.84,https://letterboxd.com//film/a-sun/
Dust in the Wind,1986,Hou Hsiao-hsien,3.9,https://letterboxd.com//film/dust-in-the-wind/
Three Times,2005,Hou Hsiao-hsien,3.74,https://letterboxd.com//film/three-times/
Abel,1986,Alex van Warmerdam,3.57,https://letterboxd.com//film/abel/
The Northerners,1992,Alex van Warmerdam,3.57,https://letterboxd.com//film/the-northerners/
The Polish Bride,1998,Karim Traïdia,3.34,https://letterboxd.com//film/the-polish-bride/
I Am Cuba,1964,Mikhail Kalatozov,4.26,https://letterboxd.com//film/i-am-cuba/
This Transient Life,1970,Akio Jissoji,4.09,https://letterboxd.com//film/this-transient-life/
Modern Times,1936,Charlie Chaplin,4.24,https://letterboxd.com//film/modern-times/
The Gold Rush,1925,Charlie Chaplin,4.07,https://letterboxd.com//film/the-gold-rush/
The Kid,1921,Charlie Chaplin,4.13,https://letterboxd.com//film/the-kid/
Mahjong,1996,Edward Yang,3.92,https://letterboxd.com//film/mahjong/
