Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Poor Things,2023,Yorgos Lanthimos,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Jerrod Carmichael', 'Christopher Abbott', 'Margaret Qualley', 'Suzy Bemba', 'Kathryn Hunter', 'Hanna Schygulla', 'Vicki Pepperdine', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Grundberg', 'Attila Kecskeméthy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson', 'Vivienne Soan', 'Jerskin Fendrix', 'István Göz', 'Bruna Asdorian', 'Tamás Szabó Sipos', 'Tom Stourton', 'Mascuud Dahir', 'Miles Jovian', 'Jeremy Wheeler', 'János Geréb', 'Patrick de Valette', 'Raphaël Thiéry', 'Boris Gillot', 'Dorina Kovács', 'Yorgos Stefanakos', 'Hubert Benhamdine', 'Gábor Patay', 'Laurent Winkler', 'Andrew Hefler', 'Damien Bonnard', 'Noah Breton', 'Donovan Fouassier', 'Roderick Hill', 'Wayne Brett', 'John Locke', 'Keeley Forsyth', 'David Bromley']",4.23,nan,"['Romance', 'Science Fiction', 'Comedy']",141,"['Ireland', 'UK', 'USA']",English,"['English', 'French', 'Portuguese']","['Searchlight Pictures', 'Film4 Productions', 'TSG Entertainment', 'Element Pictures']",646868,185712,275539,12000,2886,3894,2718,8846,10269,29329,48905,146518,142783,167400,563548,https://letterboxd.com/film/poor-things-2023/
Saltburn,2023,Emerald Fennell,"['Barry Keoghan', 'Jacob Elordi', 'Rosamund Pike', 'Richard E. Grant', 'Alison Oliver', 'Archie Madekwe', 'Carey Mulligan', 'Paul Rhys', 'Ewan Mitchell', 'Sadie Soverall', 'Richard Cotterell', 'Millie Kent', 'Will Gibson', 'Tasha Lim', 'Aleah Aberdeen', 'Matthew Carver', 'Reece Shearsmith', 'Gabriel Bisset-Smith', 'Saga Spjuth-Säll', 'Glyn Grimstead', 'Joshua Samuels', 'Julian Lloyd Patten', 'Olivia Hanrahan-Barnes', 'Lolly Adefope', 'Joshua McGuire', 'Dorothy Atkinson', 'Shaun Dooley', 'Tomás Barry', 'Andy Brady']",3.47,nan,"['Comedy', 'Drama', 'Thriller']",131,"['UK', 'USA']",English,['English'],"['LuckyChap Entertainment', 'MRC', 'Lie Still']",1581450,185492,465081,14000,9188,20282,19116,71471,86773,236878,253129,377811,131659,171781,1378088,https://letterboxd.com/film/saltburn/
Society of the Snow,2023,J. A. Bayona,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt', 'Tomas Wolf', 'Diego Vegezzi', 'Esteban Kukuriczka', 'Francisco Romero', 'Rafael Federman', 'Felipe González Otaño', 'Agustín Della Corte', 'Valentino Alonso', 'Simon Hempe', 'Fernando Contigiani García', 'Benjamín Segura', 'Luciano Chatton', 'Agustín Berruti', 'Juan Caruso', 'Rocco Posca', 'Andy Pruss', 'Esteban Bigliardi', 'Paula Baldini', 'Blas Polidori', 'Felipe Ramusio Mora', 'Santiago Vaca Narvaja', 'Emanuel Parga', 'Federico Aznárez', 'Alfonsina Carrocio', 'Louta', 'Juandi Eirea Young', 'Jerónimo Bosia', 'Giselle Douaret', 'Agustín Lain', 'Julian Bedino', 'Lautaro Bakir', 'Tea Alberti', 'Francisco Bereny', 'Toto Rovito', 'Lucas Mascarena', 'Maximiliano de la Cruz', 'Juan José Marco', 'Mariano Rochman', 'Esteban Pico', 'Pablo Tate', 'Virgínia Kauffmann', 'Francisco Burghi', 'Daniel Patricio Antivilio Acuña', 'Ezequiel Fadel Hinojosa', 'Gustavo F. Sasco', 'Facundo Roure', 'Carlos Miguel Páez Rodríguez', 'Emanuel Sobré', 'Roberto Suárez', 'Constanza del Sol Giraudo', 'Federico Formento', 'Gustavo Zerbino Stajano', 'Ramón Mario Sabella Barreiro']",4.12,nan,"['History', 'Drama']",144,"['Spain', 'USA']",Spanish,['Spanish'],"['El Arriero Films', 'Misión de Audaces Films', 'Netflix']",525390,77006,200132,4000,270,566,564,3075,5158,27274,49450,149334,84565,147311,467567,https://letterboxd.com/film/society-of-the-snow/
Mean Girls,2024,"Samantha Jayne, Arturo Perez Jr.","['Angourie Rice', 'Reneé Rapp', ""Auli'i Cravalho"", 'Jaquel Spivey', 'Avantika', 'Bebe Wood', 'Christopher Briney', 'Jenna Fischer', 'Busy Philipps', 'Tina Fey', 'Tim Meadows', 'Lindsay Lohan', 'Jon Hamm', 'Ashley Park', 'Connor Ratliff', 'Mahi Alam', 'John El-Jor', 'Brian Altemus', 'Megan Thee Stallion', 'Ben Wang', 'Alexis Frias', 'Isabella Bria Lopez', 'Morgen McKynzie', 'Veronica Taylor', 'Stephanie Mincone', 'Gabriella Cila', 'Jordan Gallimore', 'Ari Notartomaso', 'Camille Umoff', 'Kaylee Kaleinani', 'Allison Winn', 'Ben Heineman', 'Fernell Hogan', 'Calidore Robinson', 'Sofia Dobrushin', 'Grant Harrison Mateo', 'Amann Iqbal', 'Nahscha', 'Gage Roark', 'Soona Lee-Tolley', 'Janna Graham', 'Matilde Heckler', 'Francesca Castro', 'Nuri Park', 'Grace Slear', 'Izzy Bank', 'Kayla LaVine', 'James Henri Jones', 'Garid Garcia', 'Jake Schwencke', 'Ellena Eshraghi', 'Kelsie Daniels', 'Elizabeth Witek', 'Alexandra Witek', 'Brooke Johnson', 'Meredith Dunbar', 'Hank Pekarsky', 'Sri', 'Veronica Merrell-Burriss', 'Vanessa Merrell', 'Jordi', 'Énola Bédard', 'Nia Sioux', 'Emely Moreno', 'Jazz Jennings', 'Pierson Wodzynski', 'Mars Avila', 'Alan Chow', 'Chris Olsen', 'Bailey B. Angelski', 'Joshua M. Baer', 'Caitlin M. Beecham', 'Samantha R. Borsari', 'Briannon E. Bowman', 'Ian A. Boyce', 'Daniela Cassano', 'Danielle K. Catalano', 'Ismael Chino', 'Gianna M. Cologna', 'Jason L. DeGroff', 'Kaylin E. DeGroff', 'Joshua P. Doody', 'Christiana J. Doyle', 'Calysta R. Eachus', 'Kasey L. Ericson', 'Timothy S. Fletcher', 'Orlando Galarza', 'Cameron T. Garde', 'Sean G. Haight', 'Ryan J. Horgan', 'Teresa Kissel', 'Christopher J. Lucey', 'Megan A. Macneil', 'Malachi I. McLean', 'Colin J. McTernan', 'Julien F. Miller', 'Lauren M. Molfetta', 'Meryem Oldro', 'Connor D. Paul', 'Victoria G. Russo', 'Olivia C. Tona', 'Anthony M. Varbaro', 'Nico A. Varone', 'Thomas R. Wilson', 'Eric Patrick Cameron']",2.92,nan,['Comedy'],113,['USA'],English,['English'],"['Little Stranger', 'Broadway Video', 'Paramount']",243052,38072,64171,445,3532,7186,6980,21444,25210,52217,39326,36051,8899,16291,217136,https://letterboxd.com/film/mean-girls-2024/
The Holdovers,2023,Alexander Payne,"['Paul Giamatti', 'Dominic Sessa', ""Da'Vine Joy Randolph"", 'Carrie Preston', 'Brady Hepner', 'Ian Dolley', 'Jim Kaplan', 'Michael Provost', 'Andrew Garman', 'Naheem Garcia', 'Stephen Thorne', 'Gillian Vigman', 'Tate Donovan', 'Darby Lee-Stack', 'Bill Mootos', 'Dustin Tucker', 'Juanita Pearl', 'Alexander Cook', 'Liz Bishop', 'Cole Tristan Murphy', 'Will Sussbauer', 'Carter Shimp', 'Michael Malvesti', 'Dakota Lustick', 'Melissa McMeekin', 'Jonathan von Mering', 'Rena Maliszewski', 'Osmani Rodriguez', 'Oscar Wahlberg', 'Dan Aid', 'Mike Kaz', 'Kelly AuCoin', 'Colleen Clinton', 'Fred Robbins', 'David J. Curtis', 'Pamela Jayne Morgan', 'Davis Robinson', 'Joe Howell', 'Peter Krasinski', 'Greg Chopoorian', 'Ian Lyons', 'Kevin Fennessy', 'Kevin Daigneault', 'Bhanu Gopal']",4.24,nan,"['Comedy', 'Drama']",133,['USA'],English,['English'],"['Miramax', 'Gran Via Productions']",524406,171743,232997,7700,205,537,498,2618,4384,22043,47042,152412,121360,107962,459061,https://letterboxd.com/film/the-holdovers/
Anatomy of a Fall,2023,Justine Triet,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Samuel Theis', 'Jehnny Beth', 'Saadia Bentaïeb', 'Camille Rutherford', 'Anne Rotger', 'Sophie Fillières', 'Messi', 'Julien Comte', 'Pierre-François Garel', 'Savannah Rol', 'Iliès Kadri', 'Vincent Courcelle-Labrousse', 'Cécile Brunet-Ludet', 'Nesrine Slaoui', 'Antoine Bueno', 'Anne-Lise Heimburger', 'Wajdi Mouawad', 'Sacha Wolff', 'Kareen Guiock', 'Arthur Harari', 'Marie Brette', 'Christophe Devaux', 'Jefferson Desport', 'Nola Jolly', 'Emmanuelle Jourdan', 'Isaac Abballah', 'Judicaël Ajorque', 'Nicholas Angelo', 'Marie-Laure Aumis', 'Laura Balasuriya', 'Alexandre Bertrand', 'Jean-Pierre Bertrand', 'Cécilia Bongiovanni-Lefebvre', 'Jean-Claude Calbet', 'Florent Chasseloup', 'Sandrine Chastagnol', 'Betty Desmier', 'Justine Dulary', 'Philippe Jubien', 'Cyril Karenine', 'Maud Martin', 'Romaric Maucoeur', 'Fabien Perrot', 'Christophe Léon Schelstraete', 'Rose Thibault']",4.18,nan,"['Mystery', 'Crime', 'Drama']",152,['France'],French,"['French', 'English', 'German']","['Les Films de Pierre', 'Les Films Pelléas', 'France 2 Cinéma', 'Auvergne-Rhône-Alpes Cinéma']",432034,137060,158247,3100,332,692,533,2969,4164,20436,42200,136148,95015,66694,369183,https://letterboxd.com/film/anatomy-of-a-fall/
Past Lives,2023,Celine Song,"['Greta Lee', 'Teo Yoo', 'John Magaro', 'Moon Seung-ah', 'Yim Seung-min', 'Yoon Ji-hye', 'Choi Won-young', 'An Min-yeong', 'Seo Yeon-woo', 'Chang Ki-ha', 'Shin Hee-cheol', 'Jun Hyuk Park', 'Jack Alberts', 'Jane Yubin Kim', 'Noo Ri Song', 'Si Ah Jin', 'Yoon Seo Choi', 'Hwang Seung-eon', 'Jojo T. Gibbs', 'Emily Cass McDonnell', 'Federico Rodriguez', 'Conrad Schott', 'Kristen Sieh', 'Oge Agulué', 'Chase Sui Wonders', 'Isaac Powell']",4.23,nan,"['Drama', 'Romance']",106,"['South Korea', 'USA']",English,"['English', 'Korean']","['A24', 'Killer Films', '2AM', 'CJ ENM']",653470,202399,280306,16000,752,1456,1270,6149,8662,34594,56706,164519,124444,165338,563890,https://letterboxd.com/film/past-lives/
Wonka,2023,Paul King,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant', 'Paterson Joseph', 'Olivia Colman', 'Tom Davis', 'Jim Carter', 'Rowan Atkinson', 'Matt Lucas', 'Mathew Baynton', 'Natasha Rothwell', 'Rakhee Thakrar', 'Rich Fulcher', 'Kobna Holdbrook-Smith', 'Simon Farnaby', 'Ellie White', 'Sally Hawkins', ""Colin O'Brien"", 'Freya Parker', 'Murray McArthur', 'Charlotte Ritchie', 'Phil Wang', 'Rufus Jones', 'Isy Suttie', 'Ian Bartholomew', 'Sophie Winkleman', 'Justin Edwards', 'Michael Abubakar', 'Tim Fitzhigham', 'Jane Bertish', 'Tracy Ifeachor', 'Dominic Coleman', 'Muzz Khan', 'Ben Howard', 'Alison Pargeter', 'Bleu Woodward', 'Paul G. Raymond', 'Lola Shepelev', 'Marina Bye', 'Robyn Rose', ""Millie O'Donnell"", 'Susie Fairfax', 'Macie Blake', 'Ellie Blake', 'Matilda Tucker', 'Bertie Caplan', 'Gustave Die', 'Luan Gallagher']",3.36,nan,"['Comedy', 'Fantasy', 'Family']",117,"['UK', 'USA']",English,['English'],"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'The Roald Dahl Story Company', 'Heyday Films', 'Domain Entertainment']",638814,101488,182565,1400,3614,7816,7085,29172,38397,116789,123094,144081,37223,49715,556986,https://letterboxd.com/film/wonka/
Anyone But You,2023,Will Gluck,"['Sydney Sweeney', 'Glen Powell', 'Alexandra Shipp', 'Michelle Hurd', 'Bryan Brown', 'Darren Barnet', 'Hadley Robinson', 'Dermot Mulroney', 'Rachel Griffiths', 'GaTa', 'Mia Artemis', 'Nat Buchanan', 'Josh Bonello', 'Deborah Faye Lee', 'Lance Kerfuffle', 'Taryn Gluck', 'Alexandra Gluck', 'Summer Tian', 'Dan Liu', 'Davina Chan Gallagher', 'Charlee Fraser', 'Joe Davidson', 'Mariama Whitton', 'Ryan Panizza', 'Talayna Moana Nikora', 'Beau Karolos', 'Ben Heber']",3.16,nan,"['Romance', 'Comedy']",104,"['Australia', 'USA']",English,['English'],"['Olive Bridge Entertainment', 'Fifty-Fifty Films', 'Roth-Kirschenbaum Films', 'SK Global Entertainment', 'Columbia Pictures', 'TSG Entertainment', 'Australian Government']",248262,40331,72142,753,1951,4369,4759,15904,20489,49661,40760,44921,12545,25890,221249,https://letterboxd.com/film/anyone-but-you/
All of Us Strangers,2023,Andrew Haigh,"['Andrew Scott', 'Paul Mescal', 'Carter John Grout', 'Jamie Bell', 'Claire Foy', 'Ami Tredrea', 'Oliver Franks']",4.01,nan,"['Romance', 'Drama', 'Fantasy']",106,"['UK', 'USA']",English,['English'],"['Film4 Productions', 'Blueprint Pictures', 'Searchlight Pictures', 'TSG Entertainment']",153650,52619,57249,2700,196,452,525,2345,3323,11179,18376,42032,26716,28069,133213,https://letterboxd.com/film/all-of-us-strangers/
