Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Geographies of Solitude,2022,Jacquelyn Mills,['Zoe Lucas'],3.93,nan,['Documentary'],103,"['Canada', 'USA']",English,['English'],"['Conseil des Arts et des Lettres du Québec', 'Sundance Institute', 'Open Society Foundations', 'Canada Council for the Arts']",3334,1476,1324,73,1,4,8,30,57,268,389,728,356,412,2253,https://letterboxd.com/film/geographies-of-solitude/
De Humani Corporis Fabrica,2022,"Lucien Castaing-Taylor, Véréna Paravel",nan,3.82,nan,['Documentary'],118,"['France', 'Switzerland']",French,['French'],"['Norte Productions', 'CG Cinéma', 'Rita Productions', 'S.E.L']",5804,3455,1848,42,15,26,27,93,161,503,775,1267,559,464,3890,https://letterboxd.com/film/de-humani-corporis-fabrica/
Passages,2023,Ira Sachs,"['Franz Rogowski', 'Ben Whishaw', 'Adèle Exarchopoulos', 'Erwan Kepoa Falé', 'Théo Cholbi', 'Arcadi Radeff', 'Léa Boublil', 'Thibault Carterot', 'Tony Daoud', 'Theo Gabilloux', 'Anton Salachas', 'Sarah Lisbonis', 'William Nadylam', 'Caroline Chaniolleau', 'Olivier Rabourdin', 'Jérôme Dauchez', 'François Boisrond', 'Kylian Moison', 'Chloé Granier', 'Juliette Mourlon', 'Malika Bejaoui']",3.52,nan,"['Drama', 'Romance']",92,"['France', 'Germany']",French,"['French', 'English']","['SBS Productions', 'KNM']",93106,29308,22154,208,277,694,761,3351,4974,15639,19557,21258,5130,2950,74591,https://letterboxd.com/film/passages-2023/
Showing Up,2022,Kelly Reichardt,"['Michelle Williams', 'Hong Chau', 'Maryann Plunkett', 'John Magaro', 'André 3000', 'Amanda Plummer', 'Matt Malloy', 'Heather Lawless', 'James Le Gros', 'Denzel Rodriguez', 'Eudora Peterson', 'Judd Hirsch', 'Todd-o-Phonic Todd', 'Lauren Lakis', 'Jean-Luc Boucherot', 'Ted Rooney', 'Ben Coonley', 'Chase Hawkins', 'Izabel Mar', 'William Rihel III', 'Bahni Turpin', 'Dustin Clark', 'Holly Osborne', 'Ethan Benarroch', 'Hanna Caldwell', 'Kevin-Michael Moore', 'Theo Taplitz', 'Mia Bonilla', 'Sam Kamerman', 'Libby Werbel', 'Nova Kopp', 'Margaret Rodini', 'Orianna Milne', 'Mike D Harris', 'Cody Burns', 'Kristina Haddad', 'Victoria E. Henry', 'Kennedy Morris', 'Dvonte Robinson', 'Teal Sherer', 'Rowan Vik']",3.54,nan,"['Comedy', 'Drama']",108,['USA'],English,['English'],"['A24', 'filmscience']",47249,25193,13965,170,163,457,446,1727,2328,6621,8412,10463,3549,1837,36003,https://letterboxd.com/film/showing-up-2022/
Beyond Utopia,2023,Madeleine Gavin,"['Barbara Demick', 'Kim Sung-eun', 'Lee Hyeon-seo', 'Lee So-yeon', 'Kim Jong-un', 'Kim Jong-il', 'Kim Il-sung', 'Kim Jong-nam', 'Jang Song-thaek', 'Ri Sol-ju', 'Douglas MacArthur']",3.98,nan,"['Documentary', 'History']",116,['USA'],English,"['English', 'Korean']","['Ideal Partners', 'XRM Media', 'RandomGood Foundation', 'Human Rights Foundation', '19340 Productions', 'The deNovo Initiative']",6283,4854,1753,11,49,34,21,70,109,350,682,1680,1009,829,4833,https://letterboxd.com/film/beyond-utopia/
Samsara,2023,Lois Patiño,"['Amid Keomany', 'Toumor Xiong', 'Simone Milavanh', 'Mariam Vuaa Mtego', 'Juwairiya Idrisa Uwesu']",3.81,nan,"['Drama', 'Fantasy']",117,['Spain'],Lao,"['Lao', 'Swahili']","['Señor y Señora', 'Filmin']",3382,1747,1256,42,10,13,16,66,102,304,411,730,353,391,2396,https://letterboxd.com/film/samsara-2023/
"Are You There God? It's Me, Margaret.",2023,Kelly Fremon Craig,"['Abby Ryder Fortson', 'Rachel McAdams', 'Kathy Bates', 'Elle Graham', 'Benny Safdie', 'Amari Alexis Price', 'Katherine Mallen Kupferer', 'Kate MacCluggage', 'Aidan Wojtak-Hissong', 'Landon S. Baxter', 'Echo Kellum', 'Mia Dillon', 'Gary Houston', 'Mackenzie Joy Potter', 'Olivia Williams', 'Mike Platarote Jr.', 'Simms May', 'Zack Brooks', 'JeCobi Swain', 'Wilbur Fitzgerald', 'Ethan McDowell', 'Sloane Warren', 'Isol Young', 'Eden Lee', 'Naida Nelson', 'Tahirah Harrison', 'Zach Humphrey', 'Karen Aruj', 'Judy Blume', 'George Cooper', 'Joan Jackson', 'Stephen Jackson', 'Robert Haulbrook', 'Johnny Land', 'Jennifer Errington', 'Evan Bergman', 'Michael Wolk', 'Karen Macarah', 'Ariel DiDonato', 'Claude Deuce', 'Keya Hamilton', 'Tanya J. McClellan', 'Dennis Delamar', 'Samantha LeBrocq', 'Wally White', 'Holli Saperstein', 'Deborah Helms', 'Cooper Herrett', 'Gezell Fleming', 'Jim France', 'Rakeem Massingill', 'Ian Ottis Goff']",3.81,nan,"['Drama', 'Comedy']",107,['USA'],English,"['English', 'Hebrew (modern)']","['Gracie Films', 'Lionsgate']",182546,61820,64955,509,176,366,398,1978,3510,17457,33347,61207,18702,16104,153245,https://letterboxd.com/film/are-you-there-god-its-me-margaret/
The Eight Mountains,2022,"Felix van Groeningen, Charlotte Vandermeersch","['Luca Marinelli', 'Alessandro Borghi', 'Lupo Barbiero', 'Cristiano Sassella', 'Elisabetta Mazzullo', 'Andrea Palma', 'Surakshya Panta', 'Elena Lietti', 'Filippo Timi', 'Elisa Zanotto', 'Chiara Jorrioz', 'Gualtiero Burzi', 'Francesco Palombelli', 'Paolo Cognetti', 'Benedetto Patruno', 'Iris Barbiero', 'Alex Sassella', 'Fiammetta Olivieri', 'Adriano Favre', 'Leandro Gago', 'Daniela De Pellegrin', 'Aurora Pernici', 'Ermes Piffer', 'Cheche Gurung', 'Wangdi Gurung', 'Eric Olsen', 'Dagny Mjos', 'Marco Spataro', 'Stefano Percino', 'Emrik Favre']",4.0,nan,['Drama'],147,"['Belgium', 'France', 'Italy', 'UK']",Italian,"['Italian', 'Nepali', 'English']","['Pyramide Productions', 'Vision Distribution', 'Menuet', 'Wildside', 'Elastic Film', 'Rufus']",41869,11753,14163,664,21,95,104,452,804,3137,5568,11845,5915,5567,33508,https://letterboxd.com/film/the-eight-mountains/
No Bears,2022,Jafar Panahi,"['Jafar Panahi', 'Naser Hashemi', 'Vahid Mobaser', 'Bakhtiyar Panjeei', 'Mina Kavani', 'Narges Delaram', 'Abdolreza Heydari', 'Amir Davar', 'Darya Alei', 'Sinan Yusufoglu', 'Rahim Abbasi', 'Ehsan Ahmad Khanpour', 'Iman Bazyar']",3.84,nan,"['Romance', 'Drama']",107,['Iran'],Persian (Farsi),"['Persian (Farsi)', 'Azerbaijani', 'Portuguese', 'Turkish']",['JP Production'],17089,8266,5041,27,12,50,61,230,376,1615,2894,4629,1715,1091,12673,https://letterboxd.com/film/no-bears/
Saint Omer,2022,Alice Diop,"['Kayije Kagame', 'Guslagie Malanda', 'Aurélia Petit', 'Valérie Dréville', 'Xavier Maly', 'Robert Cantarella', 'Salimata Kamate', 'Thomas De Pourquery', 'Adama Diallo Tamba', 'Mariam Diop', 'Dado Diop', 'Charlotte Clamens', 'Seyna Kane', 'Coumba-Mar Thiam', 'Binta Thiam', 'Alain Payen', 'Louise Lemoine Torrès', 'Roald Iamonte', 'Christelle Lefait', 'Yann Lehoux']",3.76,nan,"['Crime', 'Drama']",123,['France'],French,"['French', 'Portuguese']","['Srab Films', 'Pictanovo Région Hauts de France', 'ARTE France Cinéma', 'Canal+', 'Ciné+', 'CNC', 'La Région Île-de-France', 'Région Hauts-de-France', 'Indéfilms 10', 'ARTE', 'Fonds Images de la Diversité', 'Agence Nationale pr Cohésion des Territoires', 'ARTE/Cofinova 18', 'Ciclic - Région Centre', 'Super']",29454,14578,7625,123,76,212,226,827,1242,3338,4830,6958,2595,1913,22217,https://letterboxd.com/film/saint-omer/
