Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Harakiri,1962,Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurō Tamba', 'Masao Mishima', 'Ichirō Nakatani', 'Kei Satō', 'Yoshio Inaba', 'Hisashi Igawa', 'Tōru Takeuchi', 'Yoshirō Aoki', 'Tatsuo Matsumura', 'Akiji Kobayashi', 'Kôichi Hayashi', 'Ryūtarō Gomi', 'Jo Azumi', 'Nakajirō Tomita', 'Shichisaburo Amatsu', 'Kenzō Tanaka', 'Shin Nakahara', 'Tsuneo Ikeda', 'Minoru Miyagi', 'Takaaki Kadota', 'Ichiro Yamamoto', 'Gen Takasugi', 'Satoshi Nishida', 'Tetsuro Komiyama', 'Shûichirô Narita', 'Noboru Kasuga', 'Shinpachi Kura', 'Kenji Hayashi', 'Shōtarō Hayashi', 'Shimezo Kataoka', 'Bunya Ozawa', 'Konosuke Takemoto', 'Rentaro Mikuni']",4.68,5.0,"['History', 'Drama', 'Action']",135,['Japan'],Japanese,['Japanese'],['Shochiku'],128253,70519,56297,5100,158,127,75,317,447,2110,4105,16631,23002,47628,94600,https://letterboxd.com/film/harakiri/
Come and See,1985,Elem Klimov,"['Aleksei Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas', 'Jüri Lumiste', 'Viktors Lorencs', 'Kazimir Rabetsky', 'Yevgeni Tilicheyev', 'G. Velts', 'V. Vasilyev', 'Aleksandr Berda', 'Vasiliy Domrachyov', 'Nina Evdokimova', 'Igor Gnevashev', 'Valery Kravchenko', 'Evgeniy Kryzhanovskiy', 'N. Lisichenok', 'Viktor Manaev', 'Gennady Matytskiy', 'Takhir Matyullin', 'Pyotr Merkuryev', 'Valentin Mishatkin', 'Yevgeniya Polyakova', 'Aleksandra Ravenskikh', 'Oleg Shapko', 'Tatyana Shestakova', 'Anatoly Slivnikov', 'Aleksandr Solopov', 'Georgiy Strokov', 'G. Yelkin', 'Igor Bezyaev', 'Yakov Ovchukov-Suvorov', 'Svetlana Zelenkovskaya', 'Adolf Hitler']",4.64,5.0,"['War', 'Drama']",142,['USSR'],Russian,"['Russian', 'Belarusian', 'German']","['Belarusfilm', 'Mosfilm']",285392,124081,117849,11000,588,595,456,1442,1670,5779,9168,33901,42554,120774,216927,https://letterboxd.com/film/come-and-see/
12 Angry Men,1957,Sidney Lumet,"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Henry Fonda', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'James Kelly', 'Billy Nelson', 'John Savoca', 'Walter Stocker', 'John Gavin']",4.62,5.0,['Drama'],97,['USA'],English,['English'],"['United Artists', 'Orion-Nova Productions']",846754,179630,327890,28000,531,955,484,2771,2725,17598,25137,108247,114339,282100,554887,https://letterboxd.com/film/12-angry-men/
Seven Samurai,1954,Akira Kurosawa,"['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba', 'Seiji Miyaguchi', 'Minoru Chiaki', 'Daisuke Katō', 'Isao Kimura', 'Keiko Tsushima', 'Yukiko Shimazaki', 'Kamatari Fujiwara', 'Yoshio Kosugi', 'Bokuzen Hidari', 'Yoshio Tsuchiya', 'Kokuten Kōdō', 'Eijirō Tōno', 'Jun Tatara', 'Atsushi Watanabe', 'Toranosuke Ogawa', 'Isao Yamagata', 'Kichijirō Ueda', 'Sôjin Kamiyama', 'Gen Shimizu', 'Keiji Sakakida', 'Shinpei Takagi', 'Shin Ōtomo', 'Toshio Takahara', 'Hiroshi Sugi', 'Hiroshi Hayashi', 'Sachio Sakai', 'Sôkichi Maki', 'Ichirō Chiba', 'Noriko Sengoku', 'Noriko Honma', 'Masanobu Ôkubo', 'Etsuo Saijo', 'Minoru Itō', 'Haruya Sakamoto', 'Gorô Sakurai', 'Hideo Shibuya', 'Kiyoshi Kamoda', 'Senkichi Ōmura', 'Takashi Narita', 'Shōichi Hirose', 'Kôji Uno', 'Masaaki Tachibana', 'Kamayuki Tsubono', 'Taiji Naka', 'Chindanji Miyagawa', 'Shigemi Sunagawa', 'Akira Tani', 'Akio Kusama', 'Ryûtarô Amami', 'Jun Mikami', 'Haruo Nakajima', 'Sanpei Mine', 'Masahide Matsushita', 'Kaneo Ikeda', 'Takuzô Kumagaya', 'Ippei Kawagoe', 'Jirô Suzukawa', 'Junpei Natsuki', 'Kyôichi Kamiyama', 'Haruo Suzuki', 'Gorô Amano', 'Akira Kitchôji', 'Kōji Iwamoto', 'Hiroshi Akitsu', 'Akira Yamada', 'Kazuo Imai', 'Eisuke Nakanishi', 'Toku Ihara', 'Hideo Ôtsuka', 'Shû Ôe', 'Yasuhisa Tsutsumi', 'Yasumasa Ônishi', 'Tsuneo Katagiri', 'Megeru Shimoda', 'Masayoshi Kawabe', 'Shigeo Katô', 'Yoshikazu Kawamata', 'Takeshi Seki', 'Haruko Toyama', 'Tsuruko Mano', 'Matsue Ono', 'Tsurue Ichimanji', 'Masako Ôshiro', 'Kyōko Ozawa', 'Michiko Kadono', 'Toshiko Nakano', 'Shizuko Azuma', 'Michiko Kawabe', 'Yûko Togawa', 'Yayoko Kitano', 'Kyoko Mori', 'Misao Suyama', 'Toriko Takahara', 'Takeshi Katō', 'Tatsuya Nakadai', 'Ken Utsui', 'Ren Yamamoto']",4.6,5.0,"['Drama', 'Action']",207,['Japan'],Japanese,['Japanese'],['TOHO'],346860,141785,132285,9000,203,338,239,1187,1371,7491,11391,44056,43595,110118,219989,https://letterboxd.com/film/seven-samurai/
The Godfather: Part II,1974,Francis Ford Coppola,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'John Cazale', 'Talia Shire', 'Lee Strasberg', 'Michael V. Gazzo', 'G. D. Spradlin', 'Richard Bright', 'Gastone Moschin', 'Tom Rosqui', 'Bruno Kirby', 'Frank Sivero', 'Francesca De Sapio', 'Morgana King', 'Marianna Hill', 'Leopoldo Trieste', 'Dominic Chianese', 'Amerigo Tot', 'Troy Donahue', 'John Aprea', 'Joe Spinell', 'Abe Vigoda', 'Tere Livrano', 'Gianni Russo', 'Maria Carta', 'Oreste Baldini', 'Giuseppe Sillato', 'Mario Cotone', 'James Gounaris', 'Fay Spain', 'Harry Dean Stanton', 'David Baker', 'Carmine Caridi', 'Danny Aiello', 'Carmine Foresta', 'Nick Discenza', 'Joseph Medaglia', 'William Bowers', 'Joseph Della Sorte', 'Carmen Argenziano', 'Joe Lo Grippo', 'Ezio Flagello', 'Livio Giorgi', 'Kathleen Beller', 'Saveria Mazzola', 'Tito Alba', 'Johnny Naranjo', 'Elda Maida', 'Salvatore Po', 'Ignazio Pappalardo', 'Andrea Maugeri', 'Peter LaCorte', 'Vincent Coppola', 'Peter Donat', 'Tom Dahlgren', 'Paul B. Brown', 'Phil Feldman', 'Roger Corman', 'Ivonne Coll', 'Joe De Nicola', 'Edward Van Sickle', 'Gabriella Belloni', 'Richard Watson', 'Venancia Grangerard', 'Erica Yohn', 'Teresa Tirelli', 'James Caan', 'Italia Coppola', 'Roman Coppola', 'Sofia Coppola', 'Victor Pujols Faneyte', 'Julie Gregg', 'Larry Guardino', 'Buck Houghton', 'Sho Kosugi', 'Gary Kurtz', 'Richard Matheson', 'John Megna', 'Jay Rasumny', 'Filomena Spagnuolo', 'Julian Voloshin']",4.59,5.0,"['Crime', 'Drama']",202,['USA'],English,"['English', 'Latin', 'Italian', 'Spanish']","['Paramount', 'The Coppola Company']",1012636,200503,362226,23000,621,1094,559,3879,3633,23448,28400,114644,113064,336562,625904,https://letterboxd.com/film/the-godfather-part-ii/
High and Low,1963,Akira Kurosawa,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Kyōko Kagawa', 'Tatsuya Mihashi', 'Isao Kimura', 'Kenjirō Ishiyama', 'Takeshi Katō', 'Takashi Shimura', 'Jun Tazaki', 'Nobuo Nakamura', 'Yūnosuke Itō', 'Tsutomu Yamazaki', 'Minoru Chiaki', 'Eijirō Tōno', 'Masao Shimizu', 'Yutaka Sada', 'Masahiko Shimazu', 'Toshio Egi', 'Kōji Mitsui', 'Kyū Sazanka', 'Susumu Fujita', 'Kamatari Fujiwara', 'Yoshio Tsuchiya', 'Kazuo Kitamura', 'Gen Shimizu', 'Akira Nagoya', 'Jun Hamamura', 'Masao Oda', 'Kō Nishimura', 'Yoshifumi Tajima', 'Koji Kiyomura', 'Hiroshi Unayama', 'Yoshisuke Makino', 'Jun Kondô', 'Tomo Suzuki', 'Senkichi Ōmura', 'Kazuo Kato', 'Ikio Sawamura', 'Kin Sugai', 'Keiko Tomita', 'Isao Onoda', 'Seiichi Taguchi', 'Takeo Matsushita', 'Kiyoshi Yamamoto', 'Kenji Kodama', 'Minoru Itō', 'Haruo Suzuki', 'Kōzō Nomura']",4.58,5.0,"['Mystery', 'Crime', 'Drama', 'Thriller']",142,['Japan'],Japanese,['Japanese'],"['TOHO', 'Kurosawa Production']",109041,68196,45044,2700,48,72,61,254,421,1957,4572,17336,21742,31488,77951,https://letterboxd.com/film/high-and-low/
Parasite,2019,Bong Joon-ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun', 'Park Keun-rok', 'Jung Yi-seo', 'Cho Jae-myung', 'Jeong Ik-han', 'Kim Kyu-baek', 'Ahn Seong-bong', 'Yoon Young-woo', 'Park Jae-wook', 'Lee Dong-yong', 'Jeon Eun-mi', 'Kim Geon', 'Lee Joo-hyung', 'Lee Ji-hye', 'Kim Bo-ryeong', 'Park Hye-sook', 'Baek Seung-hwan', 'Riccardo Ferraresso', 'Ko Kwan-jae', 'Lee Si-hoon', 'Seo Bok-hyeon', 'Shim Soo-mi', 'Yoon Hye-ree', 'Andreas Fronk', 'Anna Elisabeth Rihlmann', 'Rosie Peralta', 'Shin Seung-min', 'Park Seo-jun', 'Kwak Sin-ae', 'Choi Jeong-hyun', 'Kim Ha-eon', 'Lee Eun-hee', 'Choi Ji-won', 'Park Jae-wan', 'Hwang In-gyeong', 'Kim Yeong-jo', 'Kim Jung-woo', 'Lee Sang-kyung', 'Lee Si-hoo', 'Ahn Jin-sang']",4.57,4.0,"['Comedy', 'Thriller', 'Drama']",133,['South Korea'],Korean,"['Korean', 'English', 'German']",['Barunson E&A'],3439600,485302,1988028,81000,2268,4771,2059,13286,11258,80331,94527,507106,429259,1390253,2535118,https://letterboxd.com/film/parasite-2019/
The Godfather,1972,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Al Lettieri', 'Abe Vigoda', 'John Cazale', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana', 'John Martino', 'Salvatore Corsitto', 'Richard Bright', 'Alex Rocco', 'Tony Giorgio', 'Vito Scotti', 'Tere Livrano', 'Victor Rendina', 'Jeannie Linero', 'Julie Gregg', 'Ardell Sheridan', 'Simonetta Stefanelli', 'Angelo Infanti', 'Corrado Gaipa', 'Franco Citti', 'Saro Urzì', 'Roman Coppola', 'Sofia Coppola', 'Don Costello', 'Italia Coppola', 'Gray Frederickson', 'Ron Gilbert', 'Sonny Grosso', 'Louis Guss', 'Randy Jurgensen', 'Tony King', 'Tony Lip', 'Joe Lo Grippo', 'Lou Martini Jr.', 'Raymond Martino', 'Joseph Medaglia', 'Carol Morley', 'Rick Petrucelli', 'Sal Richards', 'Tom Rosqui', 'Frank Sivero', 'Filomena Spagnuolo', 'Joe Spinell', 'Gabriele Torrei', 'Nick Vallelonga', 'Conrad Yama']",4.56,5.0,"['Crime', 'Drama']",175,['USA'],English,"['English', 'Latin', 'Italian']","['Paramount', 'Alfran Productions']",1838520,304776,728049,56000,2389,4102,1625,10144,7309,47394,47801,214722,182348,643045,1160879,https://letterboxd.com/film/the-godfather/
The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi,"['Tatsuya Nakadai', 'Michiyo Aratama', 'Tamao Nakamura', 'Yūsuke Kawazu', 'Chishū Ryū', 'Taketoshi Naitō', 'Kyōko Kishida', 'Reiko Hitomi', 'Keijirō Morozumi', 'Koji Kiyomura', 'Nobuo Kaneko', 'Fujio Suga', 'Tatsuya Ishiguro', 'Kazuo Kitamura', 'Toshio Takahara', 'Akira Yamanouchi', ""Hiroshi Nihon'yanagi"", 'Kôichi Hayashi', 'Ko Mihashi', 'Kichijirō Ueda', 'Hideko Takamine', 'Masahiko Naruse', 'Kin Sugai', 'Miyoko Nakamura', 'Yoshie Minami', 'Fumie Kitahara', ""Gen'ya Nagai"", 'Hideo Fukuhara', 'Kanji Ōsugi', 'Akira Kimura', 'Yoshiko Watanabe', 'Saburō Bōya', 'Takashi Sue', 'Tetsuo Mizoi', 'Daijirô Minami', 'Hideko Aki', 'Ed Keane', 'Henrî Ban', 'Torauemon Utazawa']",4.55,4.5,"['History', 'Drama', 'War']",190,['Japan'],Japanese,"['Japanese', 'Russian', 'Chinese']",['Ninjin Club'],21670,21279,8660,476,27,24,14,70,112,355,634,2447,3225,7225,14133,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/
The Shawshank Redemption,1994,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'James Whitmore', 'Mark Rolston', 'Jeffrey DeMunn', 'Larry Brandenburg', 'Neil Giuntoli', 'Brian Libby', 'David Proval', 'Joseph Ragno', 'Jude Ciccolella', 'Paul McCrane', 'Renee Blaine', 'Scott Mann', 'John Horton', 'Gordon Greene', 'Alfonso Freeman', 'V.J. Foster', 'John E. Summers', 'Frank Medrano', 'Mack Miles', 'Alan R. Kessler', 'Morgan Lund', 'Cornell Wallace', 'Gary Lee Davis', 'Neil Summers', 'Ned Bellamy', 'Joe Pecoraro', 'Harold E. Cope Jr.', 'Brian Delate', 'Don McManus', 'Donald Zinn', 'Dorothy Silver', 'Robert Haley', 'Dana Snyder', 'John D. Craig', 'Ken Magee', 'Eugene C. DePasquale', 'Bill Bolender', 'Ron Newell', 'John R. Woodward', 'Chuck Brauchler', 'Dion Anderson', 'Claire Slemmer', 'James Kisicki', 'Rohn Thomas', 'Charlie Kearns', 'Rob Reider', 'Brian Brophy', 'Paul Kennedy', 'James Babson', 'Dennis Baker', 'Fred Culbertson', 'Alonzo F. Jones', 'Sergio Kato', 'Gary A. Jones']",4.54,4.5,"['Crime', 'Drama']",142,['USA'],English,['English'],['Castle Rock Entertainment'],1869862,230623,717013,57000,922,1745,1220,6466,6457,45196,58678,248114,210254,595574,1174626,https://letterboxd.com/film/the-shawshank-redemption/
