Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Nosferatu,2024,Robert Eggers,"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson', 'Simon McBurney', 'Adéla Hesová', 'Milena Konstantinova', 'Stacy Thunes', 'Gregory Gudgeon', 'Robert Russell', 'Curtis Matthew', 'Claudiu Trandafir', 'Georgina Bereghianu', 'Jordan Haj', 'Kateřina Bílá', 'Maria Ion', 'Tereza Dušková', 'Liana Navrot', 'Mihai Verbintschi', 'Karel Dobrý', 'Andrei Sergeev', 'Matěj Beneš', 'Marek Pospíchal', 'Jan Filipenský', 'Alex East', 'Christian Dunckley Clark', 'Andrea Miltner', 'Robin Finesilver', 'Paul Maynard', 'Charles Horne', 'Ella Bernstein', 'Meredith Digings']",3.86,nan,"['Drama', 'Fantasy', 'Horror']",133,['USA'],English,"['English', 'German', 'Romanian', 'Russian', 'Spanish']","A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","['Focus Features', 'Studio 8', 'Maiden Voyage Pictures', 'Birch Hill Road Entertainment']",1019778,199605,381224,10000,3111,6538,5832,24054,31737,97603,146749,298513,156929,146362,917428,https://letterboxd.com/film/nosferatu-2024/,https://letterboxd.com/films/ajax/popular/this/year/
Wicked,2024,Jon M. Chu,"['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Peter Dinklage', 'Andy Nyman', 'Courtney-Mae Briggs', 'Bowen Yang', 'Bronwyn James', 'Aaron Teoh', 'Shaun Prendergast', 'Keala Settle', 'Sharon D. Clarke', 'Jenna Boyd', 'Colin Michael Carmichael', 'Lexi Lancaster', 'Arlo Turner', 'Joey Unitt', 'Bea Ward', 'Dereke Oladele', 'Sienna-Rose Amer', 'Tarik Frimpong', 'James Dryden', 'Malinda Parris', 'Noah Prempeh', 'Vicki Noon', 'Debbie Kurup', 'Jasmine McIvor', 'Hattie Ryan', 'Kirsty Anne Shaw', 'Karis Musongole', 'Cesily Collette Taylor', 'Jarlan Bogolubov', 'Isaac Bishop', 'Adam James', 'Alice Fearn', 'Clive Kneller', 'Michael McCorry Rose', 'Idina Menzel', 'Kristin Chenoweth', 'Robin Berry', 'Bobby Windebank', 'Cherida Strallen', 'Tom Kitely', 'Elizabeth Dulau', 'Kim Durham', 'Jennifer Woodward', 'Stephen Stanton', 'Aaliyah Baker', 'Aaron Bryan', 'Aaron Witter', 'Abbie Brown', 'Adam Crossley', 'Ainsley Ricketts', 'Aleshia Williams', 'Alex Hatt', 'Alexander Thompson', 'Ama Rouge', 'Amber Doyle', 'Anders Deeno', 'Andi Vega', 'Andrew Kyrzyk', 'Andrew Parfitt', 'Angela Andrew', 'Angelica Gayle', 'Anna-Kay Gayle', 'Anthony James Bartlett', 'Antoinette Harrison', 'Arben GiGa Kapidani', 'Aristide Lyons', 'Armando Cruz', 'Ashleigh Honeyghan', 'Ashley Young', 'Aysia Trinity Ianiero', 'Becky Wong', 'Benjamin Williams', 'Beth Hinton', 'Beth John', 'Bianca Melchior', 'Billy Sawyer', 'Bismark Anobah', 'Blue Makwana', 'Bogdan Pascal', 'Bradley Salter', 'Bradley Charles', 'Brittani Ferneyhough', 'Brooke Milliner', 'Busola Peters', 'Callum Clack', 'Camone Bleu Gordon', 'Carl Parris', 'Cece Nama', 'Chanelle Anthony', 'Charlie Goddard', 'Charlie Waddell', 'Charlotte Dickinson', 'Charlotte Wildrianne', 'Charlotte Wilmott', 'Che Barrett-Davis', 'Chima Akenzua', 'Chloe Kibble', 'Chris Arias', 'Christie Lee Manning', 'Christopher Donnelly', 'Christopher Matthews', 'Christopher Scott', 'Clarissa Hagan', 'Cleve September', 'Colleen Joseph', 'Collette Guitart', 'Comfort Fedoke', 'Connor Tidman', 'Corrinne Bougaard', 'Craig Stein', 'Cruze Philip', 'Crystal Jones', 'Daisy Reynolds', 'Dalvin Sollberger', 'Daniel Rae', 'Daniela Monteiro', 'Daniella Beltrami', 'Darron Gifty', 'David Cottle', 'Dean Street', 'Demitri Lampra', 'Denzil Sampson', 'Dollie Henry', 'Ed Munro', 'Eddie Saleem', 'Ediz Ibrahim', 'Edward Scott', 'Elise Bickley', 'Eliza Hart', 'Ella Goodwin', 'Ella Nonini', 'Emer Walsh', 'Emi Ichikawa', 'Emilio Dosal', 'Emily Haygarth', 'Emily Kenwright', 'Emily Plews', 'Emma Leigh-Rose', 'Erica Stubbs', 'Fabiane Leame', 'Fatou Bah', 'Faye Stoeser', 'Federica Somma', 'Fortune Jordan', 'Frankie Johnson', 'Fred Folkes', 'Frederike Gerstner', 'Fumy Opeyemi', 'Garry Lee', 'Genevieve Heron', 'Glenn Hudson', 'Grace Hooper', 'Grace Hope', 'Gustave Die', 'Hannah Arbury', 'Hannah Bodenham', 'Hannah Kenna-Thomas', 'Hannah Levitt-Collins', 'Hannah Millott', 'Hannah Raynor', 'Hannah Veerapen', 'Harry Barnes', 'Hayley Jones', 'Helen Siveter', 'Hollie Dorman', 'Honey Makwana', 'Ian Harris', 'Ian Oswald', ""Idney De'Almeida"", 'Irene Salvi', 'Issac Baptiste', 'Jack Horner', 'Jack Whitehead', 'Jacqui Jameson', 'Jade Joan', 'Jaih Betote', 'Jakub Franasowicz', 'Jal Joshua', 'James Collins', 'James Davies-Williams', 'James Lambert', 'Jane Fowler', 'Janine Somcio', 'Jasmin Saulo', 'Jasmine Eccles', 'Jason Gilkison', 'Thanh Jason Nguyen', 'Jaye Marshall', 'Jennifer Mitchell', 'Jevan Howard-Jones', 'Joanna Goodwin', 'Joel Gooding', 'Johnny Bishop', 'Johnny White', 'Johnny White', 'Jon-Scott Clark', 'Jordan Franklin', 'Jordan Melchor', 'Jorge Antonio', 'Josh Lamb', 'Joshua Gadget', 'Kabuki Johnson', 'Kaela Owusu', 'Kailum Richardson', 'Kamila Zalewska', 'Kamira Samuel', 'Kanah Flex', 'Kane Horn', 'Kane Silver', 'Karen Hauer', 'Kate Ivory Jordan', 'Kaylor Lomas-Kirton', 'Kenji Matsunaga', 'Kenn Oldfield', 'Kenrick Sandy', 'Keron Proverbs', 'Kiera Brunton', 'Kieran Daley Ward', 'Kieran Lai', 'Kikz Katika', 'Kimberley Taylor', 'Kofi Mingo', 'LaShay Harvey', 'Laura Buckley', 'Laura Dougan', 'Lauren Fidget Haywood', 'Leah Hill', 'Lee Bridgman', 'Lillianna Clifton', 'Lily Louisa Field', 'Lily Wang', 'Lisa Spencer', 'Lukas McFarlane', 'Luke Jackson', 'Luke Randall', 'Lukus Alexander', 'Lynn Jung', 'Madison Davis', 'Martha Gimson', 'Mary Weah', 'Matthew Eudu', 'Matthew Koon', 'Matthew Miller', 'Matthew Rich', 'Maya King', 'Megan Charles', 'Megan Westpfel', 'Melody McAvoy', 'Mette Linturi', 'Michael John Burgess', 'Michael Naylor', 'Michele Zanette', 'Mike Fellows', 'Mikey Ureta', 'Mina Neighbour', 'Mira Jebari', 'Miranda Chambers', 'Misa Koide', 'Moe Sakan', 'Myron Birch', 'Nadia Sohawon', 'Naia Bautista', 'Naomi Patterson', 'Naomi Weijand', 'Natasha May-Thomas', 'Natasha Trigg', 'Neal Piron', 'Neave Harvey', 'Navaeh Morgan Alidjah', 'Nevin Cheung', 'Nicey Belgrave', 'Nicholas Stephen', 'Nicole Hastings', 'Nicole Valverde', 'Nimmz Riaz', 'Oliver Metzler', 'Oliver Wheeler', 'Olivia Beckford', 'Olu Alatise', 'Onyemachi Ejimofor', 'Page Barrington Bob', 'Paola Nyembo', 'Patience J', 'Paul N. Samuels', 'Peter Francis', 'Petra Hajduk', 'Philip Birchall', 'Prabhleen Oberoi', 'Rachel Gough', 'Ralitsa Chepisheva', 'Ramzan Miah', 'Reagen Masterson', 'Rebecca Giacopazzi', 'Reece Daniels', 'Remi Black', 'Renae Hughes', 'Renako McDonald', 'Ricardo Walker', 'Ricky Jinks', 'Robbie Griffith', 'Robia Milliner', 'Robyn Anne Wilson', 'Roxanne Milliner', 'Rufus Lacey', 'Ryan Lee Seager', 'Saffron Fisher', 'Sam Parry', 'Sam Salter', 'Samantha Shuma', 'Samuel Caleb Baxter', 'Samuel Constanti', 'Samuel Lawson', 'Samuel Newby', 'Sarah Seville', 'Sasha Shadid', 'Sasha Woodward', 'Sebastian Skov Andersen', 'Sera Maehara', 'Serena McCall', 'Shakirudeen Adewale Alade', 'Shanelle Clemenson', 'Shani Ross', 'Shanie Blais', 'Shawarah Battles', 'Shawn Aimey', 'Sophia McAvoy', 'Stephanie Powell', 'Stephen Dieyepiri Atemie', 'Stephen Quildan', 'Steven Pascua', 'Steven Thompson', 'Summer Strallen', 'Tamsier Joof Aviance', 'Tania Dimbelolo', 'Taylor Goodridge', 'Tegan Browne-Winter', 'Victory Ebinum', 'Marvel Ebinum', 'Theo Maddix', 'Theo Simpson', 'Tia Denton', 'Tia Holden', 'Tia J. Gribben', 'Tina Smallwood', 'Todd Holdsworth', 'Todd Talbot', 'Tom Mather', 'Tom Norman', 'Tonyé Scott-Obené', 'Tori Bew', 'Tyson Simon', 'Valeria Jauregui', 'Vanessa Vince-Pang', 'Vasilis Karayiannis', 'Vicky Leung', 'Will Loftis', 'Will West', 'Yasmin Cogan de Abreu', 'Yasmin Ogbu', 'Yves Cueni', 'Yvonne Evans', 'Zhanè Samuels', 'Zion Battles', 'Aisha Jawando', 'Caoimhe Fisher', 'Ellis Sutherland', 'Gabriel Mokake', 'Geoffrey Aymer', 'Jack Butterworth', 'Jarneia Richard-Noel', 'Jennifer Saayeng', 'Jonathan Bourne', 'Leah St Luce', 'Marilyn Cutts', 'Meesha Garbett', 'Melissa Jacques', 'Minal Patel', 'Paul Isles', 'Shem Omari James', 'Skylar Blu Copeland', 'Soophia Foroughi', 'Tafari Cazembe Edwards', 'Vishal Soni', 'Winnie Holzman', 'Terence Hughes', 'Jason Lines', 'Marvin Montoute', 'Stephen Schwartz', 'Ricardo Ludgero Souza', 'Alfredo Tavares', 'Poppy Townsend White', 'Yasir Arafat Rahim']",3.96,nan,"['Romance', 'Drama', 'Fantasy']",162,['USA'],English,['English'],"When ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda, the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.","['Universal Pictures', 'Marc Platt Productions']",1333046,188540,535853,21000,3741,6511,5705,22668,31573,106857,144423,317332,177549,372179,1188538,https://letterboxd.com/film/wicked-2024/,https://letterboxd.com/films/ajax/popular/this/year/
Wallace & Gromit: Vengeance Most Fowl,2024,"Merlin Crossingham, Nick Park","['Ben Whitehead', 'Peter Kay', 'Lauren Patel', 'Reece Shearsmith', 'Diane Morgan', 'Adjoa Andoh', 'Muzz Khan', 'Lenny Henry', 'Victoria Elliott', 'Jon Glover', 'Bethany Mary-James', 'Richard Beek', 'David Holt', 'Adrian Rhodes', 'John Sparkes', 'Maya Sondhi', 'Tom Doggart', 'Merlin Crossingham', 'Lizzie Waterworth', 'Roman Kemp', 'Garth Jennings']",3.96,nan,"['Adventure', 'Family', 'Comedy', 'Animation']",79,['UK'],English,['English'],"Gromit’s concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a “smart” gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master… or Wallace may never be able to invent again!",['Aardman'],229417,39133,86701,478,88,241,288,1479,2845,17076,33583,79372,27482,37569,200023,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/,https://letterboxd.com/films/ajax/popular/this/year/
Anora,2024,Sean Baker,"['Mikey Madison', 'Mark Eydelshteyn', 'Yura Borisov', 'Karren Karagulian', 'Vache Tovmasyan', 'Luna Sofía Miranda', 'Lindsey Normington', 'Darya Ekamasova', 'Aleksey Serebryakov', 'Anton Bitter', 'Ivy Wolk', 'Vlad Mamai', 'Maria Tichinskaya', 'Paul Weissman', 'Emily Weider', 'Vincent Radwinsky', 'Brittney Rodriguez', 'Sophia Carnabuci', 'Ella Rubin', 'Ross Brodar', 'Zoë Vnak', 'Morgan Charlton', 'Nazar Khamis', 'Charles Jang', 'Lana Svidonovich', 'Masha Zhak', 'Sebastian Conelli', 'Irina Finley', 'Mariana Orozco Arango', 'Artyom Trubnikov', 'Michael Sergio', 'Charlton Lamar', ""Mickey O'Hagan""]",4.06,nan,"['Drama', 'Romance', 'Comedy']",139,['USA'],English,"['English', 'Armenian', 'Russian']","Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.","['Cre Film', 'FilmNation Entertainment']",770488,185491,299639,11000,2570,4210,3220,12835,16280,52891,83057,211018,150571,136021,672673,https://letterboxd.com/film/anora/,https://letterboxd.com/films/ajax/popular/this/year/
The Substance,2024,Coralie Fargeat,"['Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia', 'Daniel Knight', 'Jonathon Carley', 'Jiselle Henderkott', 'Akil Wingate', 'Vincent Colombe', 'Billy Bentley', 'Lennard Ridsdale', 'Jordan Ford Silver', 'Oscar Salem', 'Viviane Bossina', 'Matthew Luret', 'Jana Bittnerová', 'Olivier Raynal', 'Tiffany Hofstetter', 'Nicolas Royer', 'Nathan Rippy', 'Manon Arizmendi', 'Virginie Kotlinski', 'Brett Gillen', 'Charlotte Marquardt', 'Léa Hengl', 'Gaëlle Raymond', 'Claire Lemaire', 'Lila Boughoufala', 'Aurélien Lorgnier', 'Ivan Sellier', 'Philip Schurer', 'Christian Bourmier', 'Martin Graham', 'Christian Bordeleau', 'Patrick Hamel', 'Didier Dhondt', 'Jacques-Yves Dorges', 'Jean-Claude Matthey', 'Olivier Jarcin', 'Jean-Luc Magneron', 'Charlotte Murray', 'Aaron Kahn', 'Gabriela Arnon', 'Nancy Josephson Lahoussine', 'Andrew Eldridge', 'Denise Powers', 'Bryan Jones', 'Adam Carage', 'Maria McClurg', 'Andrew Desmond', 'Rebecca Lafont', 'Laura Puech', 'Ryan Chidester', 'Céline Vogt', 'Yannick Guérin', 'Jean Miel', 'Paul Descoings', 'Benoit Lévêque', 'Arthur Molinet', 'Manon Sachot', 'Bastien Jorelle', 'Kelly Hoarau', 'Michel Juskiewicz', 'Louise Greggory', 'Christophe Sartirano', 'Florent Torres', 'Romain Caldeira', 'Barthelemy Thomas', 'Axel Baille', 'Ashley Lambert', 'Ranjani Brow', 'Chase Fein', 'Shane Sweet', 'William Calvert', 'Michael Corbett', 'Stephen Apostolina', 'Yann Bean', 'Audjyan Alcide', 'Jonathan Jenvrin', 'Mimi Maury', 'Amelye Solange', 'Kévin Table', 'Laura Boera', 'Cissy Duc', 'Sophie Mercier', 'Marie Valton', 'Katrina Budzynski', 'Alicia Maury', 'Megane Adamik', 'Annalisa Pagnotta', 'Maelle Dantigny', 'Aleksandra Fontaine Kedzierska', 'Pauline Sagetat', 'Agustina Fitzsimons', 'Elena Shcheglova', 'Eve Marchant', 'Lola Donati', 'Kate Matthews', 'Ophélie Jonard', 'Pauline Richard', 'Laureen Cappelliez', 'Daria Panchenko', 'Delphine Beaulieu', 'Victoria Brun', 'Cara Chapman', 'Katharine Matthews', 'Alexandra Faget', 'Clémence Juville', ""Margot L'Entete"", 'Hillary Sukhonos', 'Matthew Géczy', 'Namory Bakayoko', 'Gregory Defleur', 'Coralie Fargeat']",3.84,nan,"['Horror', 'Science Fiction']",141,"['France', 'UK', 'USA']",English,['English'],"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","['Working Title Films', 'Blacksmith', 'Working Title Films']",1785184,300438,631427,19000,10789,17999,14454,49637,55375,168860,218967,482644,251251,310634,1580610,https://letterboxd.com/film/the-substance/,https://letterboxd.com/films/ajax/popular/this/year/
Carry-On,2024,Jaume Collet-Serra,"['Taron Egerton', 'Jason Bateman', 'Sofia Carson', 'Danielle Deadwyler', 'Theo Rossi', 'Logan Marshall-Green', 'Dean Norris', 'Sinqua Walls', 'Gil Perez-Abraham', 'Tonatiuh', 'Curtiss Cook', 'Joe Williamson', 'Josh Brener', 'Benito Martinez', 'Edwin Kho', 'Reisha Reynolds', 'Adam Stephenson', 'Michael Scott', 'Jeff Pope', 'Raymond Rehage', 'Nico Bucher', 'Jill Flint', 'Kenneth Nance Jr.', 'Spencer Crim', 'Martina Meneses', 'Robert Larriviere', 'Mustafa Harris', 'Sarah Fisher', 'Logan Macrae', 'LeBaron Foster Thornton', 'Joel Griffin', 'Lawrence Turner', 'Keyara Milliner', 'Mark Druhet', 'Madeline Colombo', 'Marjorie Parker', 'Wanetah Walmsley', ""Thomas O'Sullivan"", 'Luis Arredondo', 'Damon Lipari', 'Erika Ashley', 'Mae Anglim', 'Ryan Reilly', 'Jennifer Hamilton Collins', 'Sarah Durn', 'Mikel Albagdadi', 'Rosha Washington', 'Brandon Morales', 'Chelsea Bryan', 'David Moncrief', 'Lena Clark', 'Preston Schrag', 'Larry Musso', 'Jeremy Schiro', 'Chris J. Fanguy', 'Nathalie J. Alarcon', 'Samuel Ali', 'Michael Biss', 'Fabian Blache III', 'Jeff Brockton', 'Tom Cain', 'Nicole Collins', 'Shayla Denee', 'James Donald', 'Elijah Evans', 'Bobby George', 'Johnny Ray Gibbs', 'Chad Governale', 'Steffanie N Graves', 'Shaunise Gray', 'Scott Green', 'Rose Bianca Grue', 'Victoria Harris', 'Todd Henry', 'Justin Hill', 'Nahna James', 'Colette Jeansonne', 'Laurie Jenkins Jones', 'Paul Kleinpeter', 'Suzette Lange', 'Cynthia LeBlanc', 'Elton LeBlanc', 'Brooklyn Majors', 'Aubree Majors', 'Ernest Marsh', 'Heathyre Perara', 'Fabiola Reno', 'Shurlynn Rosette', 'Toney Chapman Steele', 'Davon Steen', 'Kira Stevens', 'David Storm', 'Tedrick Martin', 'Envy Tiecy', 'Kasia Trepagnier', 'Lance Michael Weller']",3.01,nan,"['Action', 'Thriller']",119,['USA'],English,['English'],An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,"['Dylan Clark Productions', 'DreamWorks Pictures']",718483,68060,142140,316,3999,11934,13137,53097,74107,191929,136882,103724,16473,25715,630997,https://letterboxd.com/film/carry-on-2024/,https://letterboxd.com/films/ajax/popular/this/year/
We Live in Time,2024,John Crowley,"['Andrew Garfield', 'Florence Pugh', 'Grace Delaney', 'Lee Braithwaite', 'Aoife Hinds', 'Adam James', 'Douglas Hodge', 'Amy Morgan', 'Niamh Cusack', 'Lucy Briers', 'Robert Boulter', 'Nikhil Parmar', 'Kerry Godliman', 'Heather Craney', 'Matt Kennard', 'Sam Kennard', 'Saroja-Lily Ratnavel', 'Laura Guest', 'Marama Corlett', 'Sue Wallace', 'Megan Haly', 'Eliot Salt', 'Kevin Brewer', 'Fumilayo Brown-Olateju', 'Roly Botha', 'Grace Molony', 'Ann Ogbomo', 'Saira Choudhry', 'Joao Soares Dos Reis']",3.69,nan,"['Drama', 'Romance']",108,['UK'],English,['English'],"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.","['Film4 Productions', 'SunnyMarch', 'Shoebox Films', 'StudioCanal']",468883,100571,162990,3900,820,2205,2366,11266,18049,63947,85912,129053,46980,61649,422247,https://letterboxd.com/film/we-live-in-time/,https://letterboxd.com/films/ajax/popular/this/year/
Babygirl,2024,Halina Reijn,"['Nicole Kidman', 'Harris Dickinson', 'Antonio Banderas', 'Sophie Wilde', 'Esther-Rose McGregor', 'Vaughan Reilly', 'Victor Slezak', 'Leslie Silva', 'Molly Price', 'Gaite Jansen', 'Robert Farrior', 'Bartley Booz', 'Anoop Desai', 'Mary Ann Lamb', 'Gabrielle Policano', 'Gabriela Torres', 'Izabel Mar', ""Max O'Herlihy"", 'Michael Kirchmann', 'Mareau Hall', 'Dolly Wells', 'Tess McMillan', 'Skyler Matthews', 'Maxwell Whittington-Cooper', 'Maryann Urbano']",3.2,nan,['Drama'],115,"['Netherlands', 'USA']",English,['English'],A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,"['A24', '2AM', 'Man Up Film']",180847,50458,43653,472,2000,3808,3592,12151,14877,35416,34109,34546,8660,8680,157839,https://letterboxd.com/film/babygirl-2024/,https://letterboxd.com/films/ajax/popular/this/year/
Juror #2,2024,Clint Eastwood,"['Nicholas Hoult', 'Toni Collette', 'Chris Messina', 'Zoey Deutch', 'J.K. Simmons', 'Cedric Yarbrough', 'Kiefer Sutherland', 'Gabriel Basso', 'Amy Aquino', 'Leslie Bibb', 'Francesca Eastwood', 'Adrienne C. Moore', 'Chikako Fukuyama', 'Phil Biedron', 'Hedy Nasser', 'Onix Serrano', 'Drew Scheid', 'Jason Coviello', 'Zele Avradopoulos', 'Rebecca Koon', 'KateLynn E. Newberry', 'Rachel Walters', 'Megan Mieduch', 'Melanie Harrison', 'Bria Brimmer', 'Scott Alan Smith', 'Javier Vazquez Jr.', 'Kurt Yue', 'Tom Thon', 'Ra Val Davis', 'Gabriel Butler', 'Kevin Saunders', 'Luciano Antonino', 'Lou Bosch', 'Kellen Boyle', 'Vincent Minutella', 'Ella Fraley', 'Grant Roberts']",3.44,nan,"['Drama', 'Crime']",114,['USA'],English,['English'],"While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer.","['Warner Bros. Pictures', 'Malpaso Productions', 'Dichotomy Films']",366275,75245,85530,253,766,2833,3469,15306,24134,70957,89208,86505,17879,10923,321980,https://letterboxd.com/film/juror-2/,https://letterboxd.com/films/ajax/popular/this/year/
A Complete Unknown,2024,James Mangold,"['Timothée Chalamet', 'Edward Norton', 'Elle Fanning', 'Monica Barbaro', 'Joe Tippett', 'Eriko Hatsune', 'Peter Gray Lewis', 'Peter Gerety', 'Lenny Grossman', 'David Wenzel', 'Scoot McNairy', 'Riley Hashimoto', 'Eloise Peyrot', 'Maya Feldman', 'Dan Fogler', 'Reza Salazar', 'James Austin Johnson', 'David Alan Basche', 'Joshua Henry', 'Norbert Leo Butz', 'Alaina Surgener', 'Martin Fisher', 'Craig Geraghty', 'Michael Everett Johnson', 'Jater Webb', 'Boyd Holbrook', 'Andy Talen', 'Andrew Kober', 'Eric Berryman', 'Molly Jobe', 'Sophia Feldman', 'Taylor Valentine Lupini', 'P.J. Byrne', 'Nick Pupo', 'Brendan Burke', 'Laura Kariuki', 'Zoe Zien', 'Kevyn Morrow', 'Andy Grotelueschen', 'Jonathan Spivey', 'Cilda Shaur', 'Clark Carmichael', 'Will Harrison', 'Taylor Goodwyn', 'Arthur Langlie', 'Michael Chernus', 'Jordan Goodsell', 'Eli Brown', 'Big Bill Morganfield', 'Liam Craig', 'Charlie Tahan', 'Ian Kagey', 'Dave Maulbeck', 'Lorin Doctor', 'Aidan Close', 'Irina Chelidze', 'Jenna Veal', 'Joshua Flinchbaugh', 'Cameron G. Quevedo', 'Alexis Felix', 'Will Price', 'Sunny Vinsavich', 'Kayli Carter', 'Steve Bell', 'Malcolm Gold', 'Patrick Phalen', 'Douglas Marriner', 'Justin Levine', 'Mark Whitfield, Jr.', 'Joshua Crumbley', 'Felix Lemerle', 'Malick Koly', 'Andre Chez Lewis', 'Jimmy Caltrider', 'Kyle A. Sanna', 'Patrick M. Dennis', 'Nick Baxter', 'Alan Murray', 'Mark Gross', 'Andy Stein', 'Jean Rohe', 'Farley Rene', 'Junior Cius', 'Travis Patton', 'Victor Sho', 'Vincent Mp Filliatre', 'Amos J. Machanic', 'Sunny Jain', 'James Archie Worley', 'Jon Gennari']",3.64,nan,"['Drama', 'History', 'Music']",140,['USA'],English,['English'],"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.","['Veritas Entertainment Group', 'Range Media Partners', 'The Picture Company', 'Turnpike Films', 'White Water', 'Searchlight Pictures']",193535,53016,65682,1100,247,586,632,3559,6771,24898,38828,57169,20047,17149,169886,https://letterboxd.com/film/a-complete-unknown/,https://letterboxd.com/films/ajax/popular/this/year/
