Film_title,Release_year,Director,Average_rating,Letterboxd URL
Fauve,2018,Jérémy Comte,3.95,https://letterboxd.com//film/fauve/
Period. End of Sentence.,2018,Rayka Zehtabchi,3.84,https://letterboxd.com//film/period-end-of-sentence/
Mayday Relay,2016,Florian Tscharf,3.41,https://letterboxd.com//film/mayday-relay/
Meshes of the Afternoon,1943,"Maya Deren, Alexander Hammid",4.18,https://letterboxd.com//film/meshes-of-the-afternoon/
"Two Cars, One Night",2004,Taika Waititi,3.76,https://letterboxd.com//film/two-cars-one-night/
Standby,2016,Charlotte Regan,3.52,https://letterboxd.com//film/standby-2016/
Piper,2016,Alan Barillaro,4.02,https://letterboxd.com//film/piper/
Partly Cloudy,2009,Peter Sohn,3.67,https://letterboxd.com//film/partly-cloudy/
Red Light,2018,Sam Benenati,3.83,https://letterboxd.com//film/red-light-2018-1/
Ghost of OT301,2014,Takashi Makino,3.55,https://letterboxd.com//film/ghost-of-ot301/
Outer Space,1999,Peter Tscherkassky,3.89,https://letterboxd.com//film/outer-space/
Anima,2019,Paul Thomas Anderson,3.9,https://letterboxd.com//film/anima-2019/
Puparia,2020,Shingo Tamagawa,4.08,https://letterboxd.com//film/puparia/
La Jetée,1962,Chris Marker,4.26,https://letterboxd.com//film/la-jetee/
The Egg,2019,Philipp Dettmer,3.94,https://letterboxd.com//film/the-egg-2019-1/
Leading Lady Parts,2018,Jessica Swale,4.0,https://letterboxd.com//film/leading-lady-parts/
A Trip to the Moon,1902,Georges Méliès,4.0,https://letterboxd.com//film/a-trip-to-the-moon/
Pas de Deux,1968,Norman McLaren,4.13,https://letterboxd.com//film/pas-de-deux/
The House Is Black,1963,Forugh Farrokhzad,4.1,https://letterboxd.com//film/the-house-is-black/
Possibly in Michigan,1983,Cecelia Condit,3.99,https://letterboxd.com//film/possibly-in-michigan/
The Bloody Olive,1997,Vincent Bal,3.64,https://letterboxd.com//film/the-bloody-olive/
Bao,2018,Domee Shi,3.87,https://letterboxd.com//film/bao-2018/
Hair Wolf,2018,Mariama Diallo,3.63,https://letterboxd.com//film/hair-wolf/
