Film_title,Release_year,Director,Average_rating,Letterboxd URL
Love on a Leash,2011,Fen Tian,3.1,https://letterboxd.com//film/love-on-a-leash/
A Good Day,2010,Nicolás del Boca,3.1,https://letterboxd.com//film/a-good-day-2010/
Cool Cat Finds a Gun,2013,Derek Savage,2.29,https://letterboxd.com//film/cool-cat-finds-a-gun/
Cool Cat Saves the Kids,2015,Derek Savage,2.23,https://letterboxd.com//film/cool-cat-saves-the-kids/
Fateful Findings,2013,Neil Breen,2.47,https://letterboxd.com//film/fateful-findings/
Twisted Pair,2018,Neil Breen,2.73,https://letterboxd.com//film/twisted-pair/
The Room,2003,Tommy Wiseau,2.54,https://letterboxd.com//film/the-room/
Pass Thru,2016,Neil Breen,2.36,https://letterboxd.com//film/pass-thru/
I Am Here....Now,2009,Neil Breen,2.31,https://letterboxd.com//film/i-am-herenow/
Double Down,2005,Neil Breen,2.28,https://letterboxd.com//film/double-down-2005/
Creating Rem Lezar,1989,Scott Zakarin,2.71,https://letterboxd.com//film/creating-rem-lezar/
Cinderela Baiana,1998,Conrado Sanchez,2.01,https://letterboxd.com//film/cinderela-baiana/
Life's a Jungle: Africa's Most Wanted,2012,Robert D. Hanna,1.79,https://letterboxd.com//film/lifes-a-jungle-africas-most-wanted/
Gayniggers from Outer Space,1992,Morten Lindberg,2.54,https://letterboxd.com//film/gayniggers-from-outer-space/
Ryan's Babe,2000,Ray Ramayya,2.63,https://letterboxd.com//film/ryans-babe/
Ratatoing,2007,Michelle Gabriel,1.49,https://letterboxd.com//film/ratatoing/
Joshua and the Promised Land,2004,Jim Lion,1.62,https://letterboxd.com//film/joshua-and-the-promised-land/
Things,1989,Andrew Jordan,2.51,https://letterboxd.com//film/things/
Fatal Deviation,1998,"Shay Casserley, Simon Linscheid",2.75,https://letterboxd.com//film/fatal-deviation/
Alien Beasts,1991,Carl J. Sukenick,2.82,https://letterboxd.com//film/alien-beasts/
Troll 2,1990,Claudio Fragasso,2.19,https://letterboxd.com//film/troll-2/
Ben & Arthur,2002,Sam Mraovich,1.52,https://letterboxd.com//film/ben-arthur/
A Recipe for Seduction,2020,"Armand Prisco, Natalie Prisco",2.38,https://letterboxd.com//film/a-recipe-for-seduction/
The Man Who Saves the World,1982,Çetin İnanç,2.27,https://letterboxd.com//film/the-man-who-saves-the-world/
Science Crazed,1989,Ron Switzer,2.69,https://letterboxd.com//film/science-crazed/
No Safe Spaces,2019,Justin Folk,2.49,https://letterboxd.com//film/no-safe-spaces/
Suburban Sasquatch,2004,Dave Wascavage,1.93,https://letterboxd.com//film/suburban-sasquatch/
Samurai Cop,1991,Amir Shervan,2.46,https://letterboxd.com//film/samurai-cop/
Justin Bieber's Believe,2013,Jon M. Chu,2.63,https://letterboxd.com//film/justin-biebers-believe/
After Last Season,2009,Mark Region,1.51,https://letterboxd.com//film/after-last-season/
Wicked World,1991,Barry J. Gillis,2.68,https://letterboxd.com//film/wicked-world/
Sleep,1964,Andy Warhol,2.53,https://letterboxd.com//film/sleep-1964/
Empire,1965,Andy Warhol,2.39,https://letterboxd.com//film/empire-1965/
Cipher,1989,Tsuneo Tominaga,2.62,https://letterboxd.com//film/cipher/
Vincent Gallo as Flying Christ,1981,Michael Holman,2.21,https://letterboxd.com//film/vincent-gallo-as-flying-christ/
Llamageddon,2015,Howie Dewin,2.23,https://letterboxd.com//film/llamageddon/
Road to Revenge,1993,"John De Hart, James Paradise",2.94,https://letterboxd.com//film/road-to-revenge/
Unplanned,2019,"Cary Solomon, Chuck Konzelman",1.81,https://letterboxd.com//film/unplanned/
Showgirls 2: Penny's from Heaven,2011,Rena Riffel,2.21,https://letterboxd.com//film/showgirls-2-pennys-from-heaven/
The Angels' Melancholia,2009,Marian Dora,2.4,https://letterboxd.com//film/the-angels-melancholia/
Dark Dungeons,2014,L. Gabriel Gonda,2.18,https://letterboxd.com//film/dark-dungeons/
Freddy Got Fingered,2001,Tom Green,2.66,https://letterboxd.com//film/freddy-got-fingered/
Spookley the Square Pumpkin,2004,Bernie Denk,1.96,https://letterboxd.com//film/spookley-the-square-pumpkin/
Where the Dead Go to Die,2012,Jimmy ScreamerClauz,2.13,https://letterboxd.com//film/where-the-dead-go-to-die/
Killer Bean Forever,2009,Jeff Lew,3.48,https://letterboxd.com//film/killer-bean-forever/
Birdemic: Shock and Terror,2010,James Nguyen,1.43,https://letterboxd.com//film/birdemic-shock-and-terror/
The Secret,2006,Drew Heriot,2.11,https://letterboxd.com//film/the-secret-2006/
The VelociPastor,2018,Brendan Steere,2.78,https://letterboxd.com//film/the-velocipastor/
The Neighbors,2014,Tommy Wiseau,1.72,https://letterboxd.com//film/the-neighbors-2014/
The House That Drips Blood on Alex,2010,"Brock LaBorde, Jared Richard",2.35,https://letterboxd.com//film/the-house-that-drips-blood-on-alex/
The Green Elephant,1999,Svetlana Baskova,2.77,https://letterboxd.com//film/the-green-elephant/
Arnulf Rainer,1960,Peter Kubelka,2.59,https://letterboxd.com//film/arnulf-rainer/
I'm Not Ashamed,2016,Brian Baugh,2.03,https://letterboxd.com//film/im-not-ashamed/
"If Footmen Tire You, What Will Horses Do?",1971,Ron Ormond,2.89,https://letterboxd.com//film/if-footmen-tire-you-what-will-horses-do/
Skin,2018,Guy Nattiv,2.25,https://letterboxd.com//film/skin-2018-1/
Do You Believe?,2015,Jon Gunn,2.34,https://letterboxd.com//film/do-you-believe/
The Eternal Jew,1940,Fritz Hippler,1.83,https://letterboxd.com//film/the-eternal-jew/
Christmas Mail,2010,John Murlowski,1.82,https://letterboxd.com//film/christmas-mail/
Sherlock Holmes,2010,Rachel Lee Goldenberg,2.87,https://letterboxd.com//film/sherlock-holmes-2010/
Spymate,2006,Robert Vince,2.1,https://letterboxd.com//film/spymate/
Clickbait,2019,"Sophia Cacciola, Michael J. Epstein",2.25,https://letterboxd.com//film/clickbait-2019/
Rapsittie Street Kids: Believe in Santa,2002,Colin Slater,1.31,https://letterboxd.com//film/rapsittie-street-kids-believe-in-santa/
Strawinsky and the Mysterious House,2012,David Hutter,1.68,https://letterboxd.com//film/strawinsky-and-the-mysterious-house/
The Birth of a Nation,1915,D. W. Griffith,2.41,https://letterboxd.com//film/the-birth-of-a-nation/
The Amazing Bulk,2012,Lewis Schoenbrun,1.26,https://letterboxd.com//film/the-amazing-bulk/
The Last Vampire On Earth,2010,Vitaliy Versace,1.46,https://letterboxd.com//film/the-last-vampire-on-earth/
Dark,2015,Nick Basile,3.23,https://letterboxd.com//film/dark/
The Naked Brothers Band: The Movie,2005,Polly Draper,2.79,https://letterboxd.com//film/the-naked-brothers-band-the-movie/
My Brother's Name Is Robert and He Is an Idiot,2018,Philip Gröning,2.81,https://letterboxd.com//film/my-brothers-name-is-robert-and-he-is-an-idiot/
Xuxa Abracadabra,2003,Moacyr Góes,2.84,https://letterboxd.com//film/xuxa-abracadabra/
Ratatouille: The TikTok Musical,2021,Lucy Moss,3.21,https://letterboxd.com//film/ratatouille-the-tiktok-musical/
2016: Obama's America,2012,"John Sullivan, Dinesh D'Souza",1.78,https://letterboxd.com//film/2016-obamas-america/
Teenage Mutant Ninja Turtles: We Wish You a Turtle Christmas,1994,Larry Osborne,1.75,https://letterboxd.com//film/teenage-mutant-ninja-turtles-we-wish-you-a-turtle-christmas/
ReGOREgitated Sacrifice,2010,Lucifer Valentine,2.1,https://letterboxd.com//film/regoregitated-sacrifice/
Dangerous Men,2005,Jahangir Salehi,2.78,https://letterboxd.com//film/dangerous-men/
Wedding Trough,1974,Thierry Zéno,2.39,https://letterboxd.com//film/wedding-trough/
Justin Bieber: Never Say Never,2011,Jon M. Chu,2.24,https://letterboxd.com//film/justin-bieber-never-say-never/
Swamp Ape,2017,Geoff Ward,1.86,https://letterboxd.com//film/swamp-ape/
Muhammad: The Messenger of God,2015,Majid Majidi,2.54,https://letterboxd.com//film/muhammad-the-messenger-of-god/
Love Is All You Need?,2011,Kim Rocco Shields,2.91,https://letterboxd.com//film/love-is-all-you-need-2011/
War Room,2015,Alex Kendrick,2.5,https://letterboxd.com//film/war-room/
